Cell_ID,hProgFPM,hProgFPM.1,hProgFPM.2,hProgFPM.3,hProgFPM.4,hProgFPM.5,hProgFPM.6,hProgFPM.7,hProgFPM.8,hProgFPM.9,hProgFPM.10,hProgFPM.11,hProgFPM.12,hProgFPM.13,hProgFPM.14,hProgFPM.15,hProgFPM.16,hProgFPM.17,hProgFPM.18,hProgFPM.19,hProgFPM.20,hProgFPM.21,hProgFPM.22,hProgFPM.23,hProgFPM.24,hProgFPM.25,hProgFPM.26,hProgFPM.27,hProgFPM.28,hProgFPM.29,hProgFPM.30,hProgFPM.31,hProgFPM.32,hProgFPM.33,hProgFPM.34,hProgFPM.35,hProgFPM.36,hProgFPM.37,hProgFPM.38,hProgFPM.39,hProgFPM.40,hProgFPM.41,hProgFPM.42,hProgFPM.43,hProgFPM.44,hProgFPM.45,hProgFPM.46,hProgFPM.47,hProgFPM.48,hProgFPM.49,hProgFPM.50,hProgFPM.51,hProgFPM.52,hProgFPM.53,hProgFPM.54,hProgFPM.55,hProgFPM.56,hProgFPM.57,hProgFPM.58,hProgFPM.59,hProgFPM.60,hProgFPM.61,hProgFPM.62,hProgFPM.63,hProgFPM.64,hProgFPM.65,hProgFPM.66,hProgFPM.67,hProgFPM.68,hProgFPM.69,hProgFPM.70,hProgFPM.71,hProgFPM.72,hProgFPM.73,hProgFPM.74,hProgFPM.75,hProgFPM.76,hProgFPM.77,hProgFPM.78,hProgFPM.79,hProgFPM.80,hProgFPM.81
GSTA4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,3,0,0,1,4,0,0,3,5,2,0,1,0,0,3,0,0,1,2,1,1,1,1,0,2,3,1,5,0,0,2,0,1,3,1,0,1,0,1,1,3,3,2,1,0,2,0,6,0,3,0,2,0,3,3,0,0,0,3,4
ICK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
FBXO9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOVL5,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,3,0,0,2,0,0,1,1,1,1,2,0,0,1,3,1,1,0,2,0,2,4,0,0,2,2,0,1,1,1,3,3,0,0,2,0,1,2,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0
GCLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCRTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGCLL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DST,0,0,0,0,0,0,2,0,0,4,0,0,3,1,2,0,0,0,0,0,0,3,4,0,0,4,1,2,1,0,0,1,1,0,0,1,1,1,1,3,3,0,0,1,1,0,2,2,0,1,2,0,3,1,5,1,1,0,5,0,1,0,0,1,0,0,0,0,1,0,0,2,0,2,0,2,1,1,1,0,4,0
LOC101930010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BEND6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,1,0,1,1,0
